source_raw,source_type,relation,target_raw,target_type,source_chunk_id,published_date,evidence,confidence,pipeline_signature
Aeris Communications,Company,ACQUIRED,Ericsson,Company,4f1346392056a403277d::c0000,2022-12-07,Aeris to Acquire IoT Business from Ericsson,1.0,gold51-coref5-gptoss20b-strict-v2
DEWA,Company,USES,ChatGPT technology,Technology,ebe57b3790f81ceb3734::c0000,2023-02-09,DEWA is working to enrich its services with ChatGPT technology,1.0,gold51-coref5-gptoss20b-strict-v2
Keysight,Company,PARTNERED_WITH,Synopsys,Company,1906ed4e6e32c255c7af::c0000,2023-09-21,Keysight and Synopsys Partner for IoT Device Cybersecurity,1.0,gold51-coref5-gptoss20b-strict-v2
Associated Press,Company,PARTNERED_WITH,OpenAI,Company,67f61078101e32548302::c0000,2023-07-13,AP Open AI agree to share select news content and technology in new collaboration,1.0,gold51-coref5-gptoss20b-strict-v2
Samsung,Company,PARTNERED_WITH,Aqara,Company,3387461d5f34cf26d922::c0000,2023-10-05,Samsung and Aqara Partners to Demonstrate Presence Sensor FP2 on SmartThings Platform,1.0,gold51-coref5-gptoss20b-strict-v2
Deloitte,Company,PARTNERED_WITH,ServiceNow,Company,eb746e73990fceb34bd5::c0000,2023-10-26,Deloitte and ServiceNow Expand Alliance to Integrate Now Assist Generative AI Capabilities With Next-Generation Managed Services,1.0,gold51-coref5-gptoss20b-strict-v2
L&T Technology Services Limited,Company,PARTNERED_WITH,Palo Alto Networks,Company,227844974155bca2484d::c0000,2023-06-30,L&T Technology Services Joins Forces With Palo Alto Networks as MSSP Partner for OT Security Offerings,1.0,gold51-coref5-gptoss20b-strict-v2
Samsung,Company,DEVELOPED,OLED display with embedded heart rate sensor,Technology,cf095df30bfa3f72399f::c0000,2023-05-23,Samsung unveils OLED display with embedded heart rate sensor,1.0,gold51-coref5-gptoss20b-strict-v2
ServiceNow,Company,PARTNERED_WITH,NVIDIA,Company,a5a8b0ece135c638d4f0::c0000,2023-07-27,ServiceNow NVIDIA and Accenture Partner to Accelerate Generative AI Adoption for Enterprises,1.0,gold51-coref5-gptoss20b-strict-v2
ServiceNow,Company,PARTNERED_WITH,Accenture,Company,a5a8b0ece135c638d4f0::c0000,2023-07-27,ServiceNow NVIDIA and Accenture Partner to Accelerate Generative AI Adoption for Enterprises,1.0,gold51-coref5-gptoss20b-strict-v2
ServiceNow,Company,PARTNERED_WITH,NVIDIA,Company,531b5c0beb405c822e6c::c0000,2023-05-17,ServiceNow and NVIDIA Announce Partnership to Build Generative AI Across Enterprise IT,1.0,gold51-coref5-gptoss20b-strict-v2
L&T Technology Services Limited,Company,PARTNERED_WITH,Thales,Company,566e41efa663f190cf11::c0000,2023-02-23,L T Technology Services and Qualcomm Selected by Thales for Enabling 5G Private Networks in Urban Railways,1.0,gold51-coref5-gptoss20b-strict-v2
Qualcomm,Company,PARTNERED_WITH,Thales,Company,566e41efa663f190cf11::c0000,2023-02-23,L T Technology Services and Qualcomm Selected by Thales for Enabling 5G Private Networks in Urban Railways,1.0,gold51-coref5-gptoss20b-strict-v2
Aeris,Company,ACQUIRED,Ericsson,Company,e0ebf26fe86416644315::c0000,2023-01-18,Aeris has acquired Ericsson''s IoT Accelerator and Connected Vehicle Cloud businesses,1.0,gold51-coref5-gptoss20b-strict-v2
